id,text,label
1,ISRO successfully tests reusable launch vehicle.,1
2,Aliens captured by military in secret operation.,0
3,Stock market rises due to strong economic growth.,1
4,Chocolate found to increase height by 2 feet.,0
5,Government launches new health scheme.,1
6,Drinking cold water cures all diseases instantly.,0
7,Scientists discover new species in Amazon rainforest.,1
8,Mobile radiation turns humans into zombies.,0
9,New AI model helps diagnose diseases early.,1
10,Government to give free cars to all citizens.,0
11,ISRO successfully tests reusable launch vehicle.,1
12,Aliens captured by military in secret operation.,0
13,Stock market rises due to strong economic growth.,1
14,Chocolate found to increase height by 2 feet.,0
15,Government launches new health scheme.,1
16,Drinking cold water cures all diseases instantly.,0
17,Scientists discover new species in Amazon rainforest.,1
18,Mobile radiation turns humans into zombies.,0
19,New AI model helps diagnose diseases early.,1
20,Government to give free cars to all citizens.,0
21,ISRO successfully tests reusable launch vehicle.,1
22,Aliens captured by military in secret operation.,0
23,Stock market rises due to strong economic growth.,1
24,Chocolate found to increase height by 2 feet.,0
25,Government launches new health scheme.,1
26,Drinking cold water cures all diseases instantly.,0
27,Scientists discover new species in Amazon rainforest.,1
28,Mobile radiation turns humans into zombies.,0
29,New AI model helps diagnose diseases early.,1
30,Government to give free cars to all citizens.,0
31,ISRO successfully tests reusable launch vehicle.,1
32,Aliens captured by military in secret operation.,0
33,Stock market rises due to strong economic growth.,1
34,Chocolate found to increase height by 2 feet.,0
35,Government launches new health scheme.,1
36,Drinking cold water cures all diseases instantly.,0
37,Scientists discover new species in Amazon rainforest.,1
38,Mobile radiation turns humans into zombies.,0
39,New AI model helps diagnose diseases early.,1
40,Government to give free cars to all citizens.,0
41,ISRO successfully tests reusable launch vehicle.,1
42,Aliens captured by military in secret operation.,0
43,Stock market rises due to strong economic growth.,1
44,Chocolate found to increase height by 2 feet.,0
45,Government launches new health scheme.,1
46,Drinking cold water cures all diseases instantly.,0
47,Scientists discover new species in Amazon rainforest.,1
48,Mobile radiation turns humans into zombies.,0
49,New AI model helps diagnose diseases early.,1
50,Government to give free cars to all citizens.,0
51,New AI model helps diagnose diseases early.,1
52,Aliens captured by military in secret operation.,0
53,Stock market rises due to strong economic growth.,1
54,Drinking cold water cures all diseases instantly.,0
55,Scientists discover new species in Amazon rainforest.,1
56,Government to give free cars to all citizens.,0
57,ISRO successfully tests reusable launch vehicle.,1
58,Chocolate found to increase height by 2 feet.,0
59,Government launches new health scheme.,1
60,Mobile radiation turns humans into zombies.,0
61,New AI model helps diagnose diseases early.,1
62,Aliens captured by military in secret operation.,0
63,Stock market rises due to strong economic growth.,1
64,Drinking cold water cures all diseases instantly.,0
65,Scientists discover new species in Amazon rainforest.,1
66,Government to give free cars to all citizens.,0
67,ISRO successfully tests reusable launch vehicle.,1
68,Chocolate found to increase height by 2 feet.,0
69,Government launches new health scheme.,1
70,Mobile radiation turns humans into zombies.,0
71,New AI model helps diagnose diseases early.,1
72,Aliens captured by military in secret operation.,0
73,Stock market rises due to strong economic growth.,1
74,Drinking cold water cures all diseases instantly.,0
75,Scientists discover new species in Amazon rainforest.,1
76,Government to give free cars to all citizens.,0
77,ISRO successfully tests reusable launch vehicle.,1
78,Chocolate found to increase height by 2 feet.,0
79,Government launches new health scheme.,1
80,Mobile radiation turns humans into zombies.,0
81,New AI model helps diagnose diseases early.,1
82,Aliens captured by military in secret operation.,0
83,Stock market rises due to strong economic growth.,1
84,Drinking cold water cures all diseases instantly.,0
85,Scientists discover new species in Amazon rainforest.,1
86,Government to give free cars to all citizens.,0
87,ISRO successfully tests reusable launch vehicle.,1
88,Chocolate found to increase height by 2 feet.,0
89,Government launches new health scheme.,1
90,Mobile radiation turns humans into zombies.,0
91,New AI model helps diagnose diseases early.,1
92,Aliens captured by military in secret operation.,0
93,Stock market rises due to strong economic growth.,1
94,Drinking cold water cures all diseases instantly.,0
95,Scientists discover new species in Amazon rainforest.,1
96,Government to give free cars to all citizens.,0
97,ISRO successfully tests reusable launch vehicle.,1
98,Chocolate found to increase height by 2 feet.,0
99,Government launches new health scheme.,1
100,Mobile radiation turns humans into zombies.,0
101,New AI model helps diagnose diseases early.,1
102,Aliens captured by military in secret operation.,0
103,Stock market rises due to strong economic growth.,1
104,Drinking cold water cures all diseases instantly.,0
105,Scientists discover new species in Amazon rainforest.,1
106,Government to give free cars to all citizens.,0
107,ISRO successfully tests reusable launch vehicle.,1
108,Chocolate found to increase height by 2 feet.,0
109,Government launches new health scheme.,1
110,Mobile radiation turns humans into zombies.,0
111,New AI model helps diagnose diseases early.,1
112,Aliens captured by military in secret operation.,0
113,Stock market rises due to strong economic growth.,1
114,Drinking cold water cures all diseases instantly.,0
115,Scientists discover new species in Amazon rainforest.,1
116,Government to give free cars to all citizens.,0
117,ISRO successfully tests reusable launch vehicle.,1
118,Chocolate found to increase height by 2 feet.,0
119,Government launches new health scheme.,1
120,Mobile radiation turns humans into zombies.,0
121,New AI model helps diagnose diseases early.,1
122,Aliens captured by military in secret operation.,0
123,Stock market rises due to strong economic growth.,1
124,Drinking cold water cures all diseases instantly.,0
125,Scientists discover new species in Amazon rainforest.,1
126,Government to give free cars to all citizens.,0
127,ISRO successfully tests reusable launch vehicle.,1
128,Chocolate found to increase height by 2 feet.,0
129,Government launches new health scheme.,1
130,Mobile radiation turns humans into zombies.,0
131,New AI model helps diagnose diseases early.,1
132,Aliens captured by military in secret operation.,0
133,Stock market rises due to strong economic growth.,1
134,Drinking cold water cures all diseases instantly.,0
135,Scientists discover new species in Amazon rainforest.,1
136,Government to give free cars to all citizens.,0
137,ISRO successfully tests reusable launch vehicle.,1
138,Chocolate found to increase height by 2 feet.,0
139,Government launches new health scheme.,1
140,Mobile radiation turns humans into zombies.,0
141,New AI model helps diagnose diseases early.,1
142,Aliens captured by military in secret operation.,0
143,Stock market rises due to strong economic growth.,1
144,Drinking cold water cures all diseases instantly.,0
145,Scientists discover new species in Amazon rainforest.,1
146,Government to give free cars to all citizens.,0
147,ISRO successfully tests reusable launch vehicle.,1
148,Chocolate found to increase height by 2 feet.,0
149,Government launches new health scheme.,1
150,Mobile radiation turns humans into zombies.,0
151,New AI model helps diagnose diseases early.,1
152,Aliens captured by military in secret operation.,0
153,Stock market rises due to strong economic growth.,1
154,Drinking cold water cures all diseases instantly.,0
155,Scientists discover new species in Amazon rainforest.,1
156,Government to give free cars to all citizens.,0
157,ISRO successfully tests reusable launch vehicle.,1
158,Chocolate found to increase height by 2 feet.,0
159,Government launches new health scheme.,1
160,Mobile radiation turns humans into zombies.,0
161,New AI model helps diagnose diseases early.,1
162,Aliens captured by military in secret operation.,0
163,Stock market rises due to strong economic growth.,1
164,Drinking cold water cures all diseases instantly.,0
165,Scientists discover new species in Amazon rainforest.,1
166,Government to give free cars to all citizens.,0
167,ISRO successfully tests reusable launch vehicle.,1
168,Chocolate found to increase height by 2 feet.,0
169,Government launches new health scheme.,1
170,Mobile radiation turns humans into zombies.,0
